article_name,country,revision_id,population,article_quality
Template:ZambiaProvincialMinisters,Zambia,235107991,"15,473,900",Stub
Gladys Lundwe,Zambia,757566606,"15,473,900",Stub
Mwamba Luchembe,Zambia,764848643,"15,473,900",Stub
Thandiwe Banda,Zambia,768166426,"15,473,900",Start
Sylvester Chisembele,Zambia,776082926,"15,473,900",C
Victoria Kalima,Zambia,776530837,"15,473,900",Start
Margaret Mwanakatwe,Zambia,779747587,"15,473,900",Start
Nkandu Luo,Zambia,779747961,"15,473,900",C
Susan Nakazwe,Zambia,779748181,"15,473,900",Start
Catherine Namugala,Zambia,779748285,"15,473,900",Start
Edith Nawakwi,Zambia,779748522,"15,473,900",Start
Joyce Nonde-Simukoko,Zambia,779748628,"15,473,900",Start
Gladys Nyirongo,Zambia,779748837,"15,473,900",C
Vera Tembo,Zambia,779748931,"15,473,900",Start
Ompie Nkumbula-Lieventhal,Zambia,790011468,"15,473,900",Stub
Besnat Jere,Zambia,791225634,"15,473,900",Stub
Esther Lungu,Zambia,792296625,"15,473,900",C
Inonge Wina,Zambia,794006130,"15,473,900",Start
Maureen Mwanawasa,Zambia,795820299,"15,473,900",Start
First Lady of Zambia,Zambia,796467991,"15,473,900",Start
Jean Kapata,Zambia,797469872,"15,473,900",Start
Peter Sinkamba,Zambia,799512628,"15,473,900",Stub
Gwendoline Konie,Zambia,803304465,"15,473,900",Start
Kenneth Kaunda,Zambia,805875783,"15,473,900",C
Inonge Mbikusita-Lewanika,Zambia,805993958,"15,473,900",Start
Yobert K. Shamapande,Zambia,806345311,"15,473,900",C
Bir I of Kanem,Chad,355319463,"13,707,000",Stub
Abdullah II of Kanem,Chad,498683267,"13,707,000",Stub
Salmama II of Kanem,Chad,565745353,"13,707,000",Stub
Kuri I of Kanem,Chad,565745365,"13,707,000",Stub
Mohammed I of Kanem,Chad,565745375,"13,707,000",Stub
Kuri II of Kanem,Chad,669719757,"13,707,000",Stub
Bir II of Kanem,Chad,670893206,"13,707,000",Stub
Mahamat Hissene,Chad,693055898,"13,707,000",Stub
Othman I,Chad,705432607,"13,707,000",Stub
Alphonse Kotiga,Chad,707593108,"13,707,000",Stub
Oueddei Kichidemi,Chad,708346649,"13,707,000",Start
Dunama I,Chad,710675092,"13,707,000",Stub
Ahmad (Kanem-Bornu king),Chad,711388267,"13,707,000",Stub
Djibrine Kerallah,Chad,712971263,"13,707,000",Stub
Maurice Ngangtar,Chad,712971315,"13,707,000",Stub
Idriss Miskine,Chad,712971738,"13,707,000",Stub
Laoukein Kourayo Médard,Chad,716886170,"13,707,000",Stub
Nadji Madou,Chad,716886788,"13,707,000",Stub
Noël Milarew Odingar,Chad,716891799,"13,707,000",Start
Yaya Dillo Djérou,Chad,717733209,"13,707,000",Stub
Acheikh Ibn-Oumar,Chad,719821590,"13,707,000",Start
Quatre Sou Quatre,Chad,720066754,"13,707,000",Stub
Ali Gazi,Chad,722563340,"13,707,000",Stub
Mahamat Djarma Khatir,Chad,725132042,"13,707,000",Stub
Dunama IX Lefiami,Chad,731749611,"13,707,000",Stub
Dawud of Kanem,Chad,736550266,"13,707,000",Stub
Ahmed Koulamallah,Chad,738855197,"13,707,000",Start
Abbo Nassour,Chad,741369486,"13,707,000",C
Abdel Kader Baba-Laddé,Chad,742213176,"13,707,000",Stub
Hummay,Chad,747271475,"13,707,000",Stub
Ngarlejy Yorongar,Chad,751304544,"13,707,000",C
Saleh Kezabo,Chad,751380073,"13,707,000",Stub
Bourkou Louise Kabo,Chad,757072468,"13,707,000",Start
Brahim Koulamallah,Chad,757802238,"13,707,000",Stub
Saadie Goukouni Weddeye,Chad,757842614,"13,707,000",Start
Mahamoud Adam Béchir,Chad,762579466,"13,707,000",Start
Kalthouma Nguembang,Chad,762816132,"13,707,000",Stub
Djidingar Dono Ngardoum,Chad,764133533,"13,707,000",Stub
Template:ChadPMs,Chad,768123377,"13,707,000",Stub
Template:ChadPres,Chad,770535091,"13,707,000",Stub
Youssouf Saleh Abbas,Chad,771052289,"13,707,000",B
Koibla Djimasta,Chad,774223245,"13,707,000",Start
Nassour Guelendouksia Ouaido,Chad,774223248,"13,707,000",C
Joseph Brahim Seid,Chad,777478442,"13,707,000",Stub
Joseph Yodoyman,Chad,777550078,"13,707,000",Start
Antoine Bangui,Chad,782638002,"13,707,000",Start
Ibrahim IV of Bornu,Chad,785614014,"13,707,000",Stub
Hadjé Halimé,Chad,786449636,"13,707,000",C
Youssouf Togoïmi,Chad,787390241,"13,707,000",Start
Adoum Younousmi,Chad,787719236,"13,707,000",Start
François Tombalbaye,Chad,787738541,"13,707,000",C
Ahmat Hassaballah Soubiane,Chad,787910771,"13,707,000",Stub
Ahmad Allam-Mi,Chad,787921293,"13,707,000",Start
Laotegguelnodji Koumtog,Chad,788009613,"13,707,000",Stub
Mahamat Ali Adoum,Chad,788014671,"13,707,000",Start
Mahamat Saleh Annadif,Chad,788658822,"13,707,000",Start
Mohamed Bechir-Sow,Chad,788827248,"13,707,000",Stub
Gontchomé Sahoulba,Chad,788828388,"13,707,000",Start
Gabriel Lisette,Chad,788828519,"13,707,000",Start
Ali II of Bornu,Chad,788999424,"13,707,000",Stub
Arabi El Goni,Chad,789126126,"13,707,000",Stub
Dunama Dabbalemi,Chad,789935196,"13,707,000",Start
Idris Alooma,Chad,792734868,"13,707,000",Start
Mahamat Nouri,Chad,792954115,"13,707,000",FA
Idriss Ndele Moussa,Chad,796654025,"13,707,000",Start
Mbaydoum Simeon,Chad,796690873,"13,707,000",Stub
Ngarindo Milengar,Chad,796700718,"13,707,000",Stub
List of Prime Ministers of Chad,Chad,797747674,"13,707,000",Start
Idriss Déby,Chad,798286150,"13,707,000",B
Saleh Kebzabo,Chad,798626040,"13,707,000",C
Moussa Faki,Chad,799043301,"13,707,000",C
Template:Chad-politician-stub,Chad,799373925,"13,707,000",Stub
Kalzeubet Pahimi Deubet,Chad,799413193,"13,707,000",Stub
Haroun Kabadi,Chad,799447895,"13,707,000",Start
Nagoum Yamassoum,Chad,799447995,"13,707,000",Start
Outel Bono,Chad,799448338,"13,707,000",Stub
Ahmat Acyl,Chad,799902492,"13,707,000",B
Djimrangar Dadnadji,Chad,800133552,"13,707,000",Start
Delwa Kassiré Koumakoye,Chad,801029539,"13,707,000",C
Fidèle Moungar,Chad,801192255,"13,707,000",C
Jean Alingué Bawoyeu,Chad,801192303,"13,707,000",C
Emmanuel Nadingar,Chad,801573576,"13,707,000",C
Roger Djikisna,Chad,801583221,"13,707,000",Stub
Firmin Djidingar,Chad,801583260,"13,707,000",Stub
Idris I of Kanem,Chad,802874918,"13,707,000",Stub
Vice President of Chad,Chad,803166509,"13,707,000",Stub
Hissène Habré,Chad,803166806,"13,707,000",GA
Negue Djogo,Chad,803166989,"13,707,000",Start
Wadel Abdelkader Kamougué,Chad,803167152,"13,707,000",C
Félix Malloum,Chad,803167336,"13,707,000",Start
Lol Mahamat Choua,Chad,803167424,"13,707,000",C
Goukouni Oueddei,Chad,803167990,"13,707,000",C
Albert Pahimi Padacké,Chad,803433107,"13,707,000",C
List of heads of state of Chad,Chad,803812011,"13,707,000",Start
Elise Loum,Chad,804773540,"13,707,000",Start
Agnes Allafi,Chad,805493169,"13,707,000",Start
Christine Georges Diguibaye,Chad,806337653,"13,707,000",Stub
Pascal Yoadimnadji,Chad,806508985,"13,707,000",C
Aissa Koli,Chad,806616268,"13,707,000",Stub
Omar I of Kanem,Chad,807425129,"13,707,000",Start
Template:Zimbabwe-politician-stub,Zimbabwe,391862046,"17,354,000",Stub
Template:Zimbabwe-mayor-stub,Zimbabwe,444767985,"17,354,000",Stub
Jabulani Dube,Zimbabwe,645408814,"17,354,000",Stub
Fletcher Dulini,Zimbabwe,669981316,"17,354,000",Stub
Leopold Takawira,Zimbabwe,710060929,"17,354,000",Start
Tinos Rusere,Zimbabwe,710524880,"17,354,000",Start
Gift Tandare,Zimbabwe,710615823,"17,354,000",Stub
Engelbert Rugeje,Zimbabwe,711448400,"17,354,000",Start
Max Mnkandla,Zimbabwe,711509855,"17,354,000",Stub
Lovemore Matombo,Zimbabwe,711958194,"17,354,000",Stub
Alfred Nikita Mangena,Zimbabwe,712004487,"17,354,000",Stub
Simbi Mubako,Zimbabwe,713121927,"17,354,000",Stub
Nicholas Kiti kiti,Zimbabwe,713308132,"17,354,000",Stub
Aleck Gumbo,Zimbabwe,713580662,"17,354,000",Stub
Jabulani Sibanda,Zimbabwe,713618917,"17,354,000",Start
Cain Mathema,Zimbabwe,713726531,"17,354,000",Stub
Patrick Kombayi,Zimbabwe,713740128,"17,354,000",Stub
Langton Towungana,Zimbabwe,713899377,"17,354,000",Stub
Eric Matinenga,Zimbabwe,714455111,"17,354,000",Stub
Emmanuel Chiroto,Zimbabwe,714535045,"17,354,000",Start
Muchadeyi Masunda,Zimbabwe,714706533,"17,354,000",C
David Butau,Zimbabwe,714967769,"17,354,000",Stub
Thompson Samkange,Zimbabwe,715131189,"17,354,000",Stub
Nomalanga Khumalo,Zimbabwe,715183334,"17,354,000",Stub
Henry Dzinotyiweyi,Zimbabwe,715867004,"17,354,000",Stub
Edward Raradza,Zimbabwe,716017725,"17,354,000",Stub
Rekayi Tangwena,Zimbabwe,716669163,"17,354,000",Stub
